买家会员名,宝贝ID,推荐指数
00075234ckx,544016559367,2.1581018518518515
00075234ckx,537396783238,1.9455194063926942
00075234ckx,544115359956,1.8300595238095236
00075234ckx,546275765548,0.86625
00075234ckx,550715341924,0.7835227272727272
00075234ckx,527419046969,0.6438568376068374
00075234ckx,536083448292,0.6171743697478991
00075234ckx,521019257989,0.5658653846153845
00075234ckx,42646163798,0.4690406976744186
00075234ckx,547794157516,0.41054447852760734
02果味,35753244214,1.6875
02果味,35722000205,1.4586726998491704
02果味,520310825412,1.2926385442514474
02果味,35722333869,1.1952380952380952
02果味,527475911875,1.144947209653092
02果味,531145857565,1.1376146788990826
02果味,550661692854,1.0909090909090908
02果味,549661564014,1.069767441860465
02果味,550966828606,1.0434782608695652
02果味,528109847799,1.033513903936439
0322露露,35722000205,1.4586726998491704
0322露露,520310825412,1.2926385442514474
0322露露,527475911875,1.144947209653092
0322露露,527397362582,1.1316526610644257
0322露露,545602185334,1.042093901780896
0322露露,528109847799,1.033513903936439
0322露露,521926312352,0.9948717948717947
0322露露,37276995387,0.9411764705882353
0322露露,543665285542,0.9411764705882353
0322露露,44242610103,0.9411764705882353
07105023w,35722000205,1.4586726998491704
07105023w,520310825412,1.2926385442514474
07105023w,527475911875,1.144947209653092
07105023w,531145857565,1.1376146788990826
07105023w,528109847799,1.033513903936439
07105023w,40415550893,1.0
07105023w,521926312352,0.9948717948717947
07105023w,536009750573,0.9334626158155568
07105023w,537318544352,0.8998491704374056
07105023w,549765831606,0.8989966555183946
0729huai0523,549378588703,1.7565880721220528
0729huai0523,549736062191,1.6514736172348834
0729huai0523,540662291619,1.5890974967061924
0729huai0523,35753244214,1.4732142857142858
0729huai0523,529338111966,1.4686411149825784
0729huai0523,35798985871,1.3909774436090228
0729huai0523,548998614714,1.3762376237623761
0729huai0523,540520509637,1.3659090909090907
0729huai0523,520310825412,1.2926385442514474
0729huai0523,545939669017,1.2600267379679144
07kit,545957998521,1.0634249471458774
07kit,42711696783,0.8413305858110098
