买家会员名,宝贝ID,推荐指数
00075234ckx,527419046969,0.5
00075234ckx,538658965256,0.4285714285714286
00075234ckx,542939108885,0.4285714285714286
00075234ckx,547380519834,0.4285714285714286
00075234ckx,547306204530,0.4285714285714286
00075234ckx,536083448292,0.4285714285714286
00075234ckx,39386028930,0.4285714285714286
00075234ckx,543812646033,0.0
00075234ckx,543827067334,0.0
00075234ckx,543889179481,0.0
02果味,544066720474,1.0
02果味,35721027449,0.6666666666666667
02果味,36074765406,0.6666666666666667
02果味,521926312352,0.6666666666666667
02果味,536009750573,0.6666666666666667
02果味,540662535716,0.0
02果味,540882092170,0.0
02果味,543742043514,0.0
02果味,543812646033,0.0
02果味,543827067334,0.0
0322露露,35721027449,0.0
0322露露,544114479515,0.0
0322露露,543695068744,0.0
0322露露,543719829706,0.0
0322露露,543742043514,0.0
0322露露,543812646033,0.0
0322露露,543827067334,0.0
0322露露,543889179481,0.0
0322露露,544016559367,0.0
0322露露,544017279596,0.0
07105023w,35721027449,0.0
07105023w,544114479515,0.0
07105023w,543695068744,0.0
07105023w,543719829706,0.0
07105023w,543742043514,0.0
07105023w,543812646033,0.0
07105023w,543827067334,0.0
07105023w,543889179481,0.0
07105023w,544016559367,0.0
07105023w,544017279596,0.0
0729huai0523,530449665002,1.6666666666666667
0729huai0523,36266985550,1.6666666666666667
0729huai0523,538494418449,1.0
0729huai0523,529405509010,1.0
0729huai0523,35754637865,1.0
0729huai0523,545566976422,1.0
0729huai0523,535612234886,0.8571428571428572
0729huai0523,37941111428,0.8571428571428572
0729huai0523,544066720474,0.8295817183459027
0729huai0523,539677826038,0.8
07kit,35877393642,1.75
07kit,520310825412,1.3847746237283802
07kit,36266985550,1.3756722179308611
07kit,35722000205,1.2427996400837236
07kit,548547222435,1.0
07kit,530812936284,1.0
07kit,533204346200,1.0
07kit,36267739775,1.0
07kit,528705813655,1.0
07kit,544066720474,1.0
0号仓库,541659214822,1.0
0号仓库,535612234886,0.8
0号仓库,35721723963,0.8
0号仓库,37941111428,0.8
0号仓库,544016559367,0.0
0号仓库,544106282196,0.0
0号仓库,544100858313,0.0
